phase,concurrency,duration_seconds,elapsed_seconds,requests,failures,failure_rate,p50_ms,p95_ms,p99_ms,rps,status,health_ok,monitor_samples,gpu_peak_mb,gpu_memory_percent_peak,gpu_head_mb,gpu_tail_mb,rss_peak_mb,rss_head_mb,rss_tail_mb,sm_peak_percent,sm_mean_percent
stage_01_u0001,1,60,61.54011096299996,15400,0,0,4,4,5,260.76531557378775,passed,True,13,677.1875,4.408772786458334,677.1875,677.1875,1071.4609375,1070.9140625,1071.4609375,10,8.615384615384615
stage_02_u0002,2,60,61.52259691900008,19432,0,0,6,7,8,329.0218884247048,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1073.84765625,1072.125,1073.84765625,12,11.916666666666666
stage_03_u0004,4,60,61.61554792400011,19897,0,0,12,14,17,336.8612376734725,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1074.1015625,1073.91015625,1074.1015625,13,12.166666666666666
stage_04_u0008,8,60,61.5768612920001,20477,0,0,23,26,29,346.65912469861235,passed,True,13,677.1875,4.408772786458334,677.1875,677.1875,1074.66796875,1074.1484375,1074.66796875,13,11.76923076923077
stage_05_u0016,16,60,61.602266530999714,20689,0,0,45,51,55,350.1667598867371,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1075.52734375,1074.76953125,1075.52734375,14,12.75
stage_06_u0032,32,60,61.58606901700023,20817,0,0,89,98,110,352.3535416244231,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1076.53125,1075.71875,1076.53125,14,12.916666666666666
stage_07_u0048,48,60,61.581899240999974,20975,0,0,130,150,240,355.0664865333037,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1077.390625,1076.53515625,1077.390625,14,12.666666666666666
stage_08_u0064,64,60,61.660506865000116,21150,0,0,170,200,280,357.9534343893438,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1077.85546875,1077.484375,1077.85546875,15,13.083333333333334
stage_09_u0080,80,60,61.61209809900038,20704,0,0,220,320,330,350.4257012042336,passed,True,11,677.1875,4.408772786458334,677.1875,677.1875,1078.61328125,1077.96484375,1078.61328125,14,11.818181818181818
stage_10_u0096,96,60,61.58928509499992,20980,0,0,260,360,380,355.10839588551005,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1079.60546875,1078.625,1079.60546875,16,11.75
stage_11_u0128,128,60,61.596762381999724,20725,0,0,350,460,470,350.729375857621,passed,True,11,677.1875,4.408772786458334,677.1875,677.1875,1080.9140625,1079.60546875,1080.9140625,14,10.363636363636363
stage_12_u0160,160,60,61.65893503699999,20819,0,0,430,540,560,352.3016939976611,passed,True,12,677.1875,4.408772786458334,677.1875,677.1875,1083.39453125,1081.06640625,1083.39453125,17,12.166666666666666
stage_13_u0192,192,60,61.58929441300006,19990,0,0,550,680,740,338.22597586661317,passed,True,11,677.1875,4.408772786458334,677.1875,677.1875,1088.0625,1083.67578125,1088.0625,17,11.909090909090908
stage_14_u0256,256,60,61.70437540000012,17391,0,0,870,1000,1100,294.1056387852428,passed,True,10,677.1875,4.408772786458334,677.1875,677.1875,1100.4921875,1088.78125,1100.4921875,15,9.8
stage_15_u0320,320,60,61.671246571999745,20525,0,0,880,1000,1000,347.0260091829175,passed,True,11,677.1875,4.408772786458334,677.1875,677.1875,1104.703125,1102.17578125,1104.703125,19,11.181818181818182
stage_16_u0384,384,60,61.67839564199994,20309,0,0,1100,1200,1300,343.56139631782816,passed,True,10,677.1875,4.408772786458334,677.1875,677.1875,1107.984375,1105.78515625,1107.984375,19,11
stage_17_u0512,512,60,61.74804546400037,20238,0,0,1400,1600,1600,342.3565570951871,passed,True,10,677.1875,4.408772786458334,677.1875,677.1875,1114.8046875,1108.96875,1114.8046875,17,13.9
