concurrency,fixed_p99_ms,fixed_rps,fixed_failure_rate,fixed_status,fixed_gpu_peak_mb,fixed_sm_peak_percent,fixed_rss_peak_mb
1,5,260.765316,0,passed,677.1875,10,1071.460938
2,8,329.021888,0,passed,677.1875,12,1073.847656
4,17,336.861238,0,passed,677.1875,13,1074.101563
8,29,346.659125,0,passed,677.1875,13,1074.667969
16,55,350.166760,0,passed,677.1875,14,1075.527344
32,110,352.353542,0,passed,677.1875,14,1076.531250
48,240,355.066487,0,passed,677.1875,14,1077.390625
64,280,357.953434,0,passed,677.1875,15,1077.855469
80,330,350.425701,0,passed,677.1875,14,1078.613281
96,380,355.108396,0,passed,677.1875,16,1079.605469
128,470,350.729376,0,passed,677.1875,14,1080.914063
160,560,352.301694,0,passed,677.1875,17,1083.394531
192,740,338.225976,0,passed,677.1875,17,1088.062500
256,1100,294.105639,0,passed,677.1875,15,1100.492188
320,1000,347.026009,0,passed,677.1875,19,1104.703125
384,1300,343.561397,0,passed,677.1875,19,1107.984375
512,1600,342.356557,0,passed,677.1875,17,1114.804688
