phase,concurrency,duration_seconds,elapsed_seconds,spawn_rate,status,locust_returncode,health_ok,health_detail,stats_file,log_file,requests,failures,failure_rate,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,rps
stage_01_u0001,1,30,31.62298065799996,1,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_01_u0001_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_01_u0001.locust.log,7234,0,0.0,4.0,4.0,5.0,3.933618191042179,3.353240999786067,20.009744000162755,249.2145463367786
stage_02_u0002,2,30,31.59451124499992,2,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_02_u0002_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_02_u0002.locust.log,9327,0,0.0,6.0,7.0,8.0,6.140715366361215,3.912099999979546,21.201199000188353,321.3046623272169
stage_03_u0004,4,30,31.645463125999868,4,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_03_u0004_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_03_u0004.locust.log,9510,0,0.0,12.0,15.0,17.0,12.123985933019691,4.813316000308987,31.11794500000542,327.59245040092304
stage_04_u0008,8,30,31.589225693000117,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_04_u0008_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_04_u0008.locust.log,9792,0,0.0,23.0,27.0,30.0,23.6207462436697,10.374383999987913,47.14138400004231,337.24093395283995
stage_05_u0016,16,30,31.586040712999875,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_05_u0016_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_05_u0016.locust.log,9887,0,0.0,46.0,51.0,56.0,46.04883429048391,10.565090000000055,155.7430299999396,340.48343532010506
stage_06_u0032,32,30,31.65703671700021,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_06_u0032_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_06_u0032.locust.log,9660,0,0.0,94.0,110.0,120.0,90.97574962960375,11.447442999724444,201.32374000013442,332.59275281475976
stage_07_u0048,48,30,31.622543081999993,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_07_u0048_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_07_u0048.locust.log,9940,0,0.0,140.0,150.0,240.0,127.72351390160672,12.382641999920452,272.141007999835,342.2121214394641
stage_08_u0064,64,30,31.62227840000014,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_08_u0064_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_08_u0064.locust.log,9865,0,0.0,180.0,200.0,300.0,165.00632089568958,12.11319200001526,351.65516600000046,339.5365706913899
stage_09_u0080,80,30,31.696673234000173,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_09_u0080_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_09_u0080.locust.log,9816,0,0.0,230.0,280.0,350.0,198.871818551652,10.590487999706966,424.83152300019356,337.8956967739931
stage_10_u0096,96,30,31.651874930000304,8,passed,0,True,"{'status_code': 200, 'status': 'ok', 'engine': {'engine_file': 'generator_trt_qat_int8 (1).engine', 'engine_sha256': 'b24e799fc5e32a7392bb587e23c314f290c6f314934d00f1cd4cde9e92bf5282', 'engine_bytes': 9570452, 'tensorrt_version': '11.2.1.2', 'gpu_index': 0, 'gpu_name': 'Tesla T4', 'gpu_total_memory_mb': 14911.69, 'cuda_version': '12.8', 'torch_version': '2.10.0+cu128', 'input_name': 'z', 'output_name': 'image', 'input_dtype': ""<class 'numpy.float32'>"", 'output_dtype': ""<class 'numpy.float32'>"", 'expected_input_shape': [1, 128, 1, 1], 'expected_output_shape': [1, 3, 64, 64], 'pid': 58, 'hostname': 'dea8ce5e3415', 'request_count': 30}}",/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_10_u0096_stats.csv,/kaggle/working/dcgan_output/Deployment_Optimization_Results/06_Service_Stress/Run_20260819_014504/stage_10_u0096.locust.log,9866,0,0.0,270.0,370.0,400.0,227.58875471994696,10.238572000162094,456.2477519998538,339.6277178217433
