timestamp_utc,elapsed_seconds,phase,concurrency,phase_status,service_pid,service_alive,health_ok,health_code,health_detail,gpu_index,gpu_name,gpu_memory_used_mb,gpu_memory_total_mb,gpu_memory_percent,gpu_sm_percent,service_rss_mb,service_vms_mb,service_cpu_percent,system_memory_used_mb,system_memory_percent
2026-08-19T01:45:04.623478+00:00,0.00014800299959460972,,,not_started,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1068.26171875,51076.35546875,0.0,1537.61328125,6.2
2026-08-19T01:45:09.630502+00:00,5.007614064999871,stage_01,1,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1068.30078125,51076.35546875,0.2,1538.2421875,6.2
2026-08-19T01:45:14.640745+00:00,10.014542555999924,stage_01,1,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,9,1068.765625,51148.375,50.9,1589.30859375,6.4
2026-08-19T01:45:19.648678+00:00,15.024893574999624,stage_01,1,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,9,1068.8671875,51148.375,85.4,1589.3671875,6.4
2026-08-19T01:45:24.657515+00:00,20.032966307999686,stage_01,1,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,9,1068.8671875,51148.375,85.9,1587.828125,6.4
2026-08-19T01:45:29.666312+00:00,25.04178032799973,stage_01,1,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,9,1068.875,51148.375,86.1,1587.9765625,6.4
2026-08-19T01:45:34.676288+00:00,30.050643336999656,stage_01,1,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,8,1068.8828125,51148.375,86.2,1582.16796875,6.4
2026-08-19T01:45:39.684950+00:00,35.060367956999926,stage_01,1,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,9,1068.88671875,51148.375,86.0,1582.43359375,6.4
2026-08-19T01:45:44.691670+00:00,40.06962704899979,cooldown_after_stage_01,1,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1068.88671875,51148.375,25.8,1530.8515625,6.2
2026-08-19T01:45:49.698191+00:00,45.07584502599957,cooldown_after_stage_01,1,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1068.890625,51148.375,0.2,1530.71484375,6.2
2026-08-19T01:45:54.704388+00:00,50.082249107999814,cooldown_after_stage_01,1,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1068.890625,51148.375,0.2,1532.01953125,6.2
2026-08-19T01:45:59.715116+00:00,55.088530438999896,stage_02,2,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1069.11328125,51220.39453125,40.1,1562.05859375,6.3
2026-08-19T01:46:04.729180+00:00,60.10037301899956,stage_02,2,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1070.97265625,51652.51171875,118.9,1575.55859375,6.4
2026-08-19T01:46:09.740622+00:00,65.11315291599976,stage_02,2,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,11,1070.9765625,51652.51171875,120.1,1575.375,6.4
2026-08-19T01:46:14.752087+00:00,70.12563076099968,stage_02,2,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1070.9765625,51652.51171875,119.5,1580.671875,6.4
2026-08-19T01:46:19.769378+00:00,75.13671261499985,stage_02,2,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,11,1071.078125,51652.51171875,119.7,1581.015625,6.4
2026-08-19T01:46:24.782439+00:00,80.1546573329997,stage_02,2,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.21875,51652.51171875,119.2,1585.86328125,6.4
2026-08-19T01:46:29.789384+00:00,85.16680085600001,cooldown_after_stage_02,2,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1071.22265625,51652.51171875,71.4,1546.48828125,6.3
2026-08-19T01:46:34.795944+00:00,90.17365279299975,cooldown_after_stage_02,2,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1071.2265625,51652.51171875,0.4,1549.82421875,6.3
2026-08-19T01:46:39.802141+00:00,95.17995934099963,cooldown_after_stage_02,2,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1071.2265625,51652.51171875,0.2,1549.7734375,6.3
2026-08-19T01:46:44.814996+00:00,100.1865480499996,stage_03,4,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,4,1071.27734375,51652.51171875,3.2,1580.640625,6.4
2026-08-19T01:46:49.836187+00:00,105.19910141899982,stage_03,4,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,11,1071.29296875,51652.51171875,126.8,1580.734375,6.4
2026-08-19T01:46:54.855832+00:00,110.22203104499977,stage_03,4,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.34375,51652.51171875,126.9,1585.0546875,6.4
2026-08-19T01:46:59.866791+00:00,115.23998154799983,stage_03,4,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.34375,51652.51171875,127.3,1585.37890625,6.4
2026-08-19T01:47:04.884466+00:00,120.25120890399967,stage_03,4,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.39453125,51652.51171875,127.1,1587.03125,6.4
2026-08-19T01:47:09.903275+00:00,125.26856400199995,stage_03,4,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.4453125,51652.51171875,127.1,1587.3984375,6.4
2026-08-19T01:47:14.910017+00:00,130.28780700499965,cooldown_after_stage_03,4,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1071.44921875,51652.51171875,113.8,1533.21484375,6.2
2026-08-19T01:47:19.916594+00:00,135.29434655899968,cooldown_after_stage_03,4,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1071.44921875,51652.51171875,0.2,1533.1015625,6.2
2026-08-19T01:47:24.923607+00:00,140.30128384699992,cooldown_after_stage_03,4,cooldown,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1071.44921875,51652.51171875,0.4,1533.203125,6.2
2026-08-19T01:47:29.930675+00:00,145.30788748099985,stage_04,8,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,0,1071.44921875,51652.51171875,0.4,1541.9453125,6.3
2026-08-19T01:47:34.964137+00:00,150.31489778199966,stage_04,8,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.86328125,51652.51171875,96.1,1572.6015625,6.4
2026-08-19T01:47:39.984693+00:00,155.3484774409999,stage_04,8,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,13,1071.87109375,51652.51171875,132.5,1572.484375,6.4
2026-08-19T01:47:45.018392+00:00,160.3704541699999,stage_04,8,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.87109375,51652.51171875,132.6,1577.375,6.4
2026-08-19T01:47:50.054968+00:00,165.40279627899963,stage_04,8,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.875,51652.51171875,133.0,1576.88671875,6.4
2026-08-19T01:47:55.081483+00:00,170.44080369899984,stage_04,8,running,58,True,True,200,ok,0,Tesla T4,677.1875,15360.0,4.408772786458334,12,1071.92578125,51652.51171875,132.4,1582.6796875,6.4
