phase,concurrency,requests,failures,failure_rate,p50_ms,p95_ms,p99_ms,mean_ms,rps,status
stage_01_u0001,1,7234,0,0.0,4,4,5,3.933618,249.215,passed
stage_02_u0002,2,9327,0,0.0,6,7,8,6.140715,321.305,passed
stage_03_u0004,4,9510,0,0.0,12,15,17,12.123986,327.592,passed
stage_04_u0008,8,9792,0,0.0,23,27,30,23.620746,337.241,passed
stage_05_u0016,16,9887,0,0.0,46,51,56,46.048834,340.483,passed
stage_06_u0032,32,9660,0,0.0,94,110,120,90.975750,332.593,passed
stage_07_u0048,48,9940,0,0.0,140,150,240,127.723514,342.212,passed
stage_08_u0064,64,9865,0,0.0,180,200,300,165.006320,339.537,passed
stage_09_u0080,80,9816,0,0.0,230,280,350,198.871819,337.896,passed
stage_10_u0096,96,9866,0,0.0,270,370,400,227.588755,339.628,passed
stage_11_u0128,128,9736,0,0.0,350,470,490,280.704941,335.104,passed
