actual_batch_size,gpu_memory_used_mb,gpu_sm_utilization_percent,inflight,model_version,queue_depth,rss_mb,sample,timestamp
1,677.1875,5,0,qat-int8-v1,0,1078.94921875,0,1788337903.8783183
1,677.1875,0,0,qat-int8-v1,0,1078.95703125,1,1788337908.88475
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,2,1788337913.890535
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,3,1788337918.896012
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,4,1788337923.9014978
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,5,1788337928.9072685
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,6,1788337933.9128604
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,7,1788337938.9181037
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,8,1788337943.923974
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,9,1788337948.9291651
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,10,1788337953.9352782
1,677.1875,0,0,qat-int8-v1,0,1078.9609375,11,1788337958.941042
